,sample_size,power,avg_eta_sqr
1382,92,0.36666666666666664,1.4649148211677356
1383,92,0.43333333333333335,1.4971746574193892
1384,92,0.4666666666666667,1.5378206902211622
1385,92,0.36666666666666664,1.579888657003804
1386,92,0.4,1.6189048469767127
1387,92,0.43333333333333335,1.6579546473727618
1388,92,0.4,1.7028071489700218
1389,92,0.4,1.7409463571353414
1390,92,0.5333333333333333,1.7948160994737823
1391,92,0.5,1.8406616845201507
1392,92,0.3333333333333333,1.87722724097853
1393,92,0.23333333333333334,1.9117727754910716
1394,92,0.16666666666666666,1.9396827658888762
1395,92,0.36666666666666664,1.9829841622855788
1396,92,0.5333333333333333,2.0354031830965766
1397,92,0.3333333333333333,2.0810203887776253
1398,92,0.3333333333333333,2.1189135896940474
1399,92,0.5,2.182119688542899
1400,95,0.43333333333333335,0.046308629883894205
1401,95,0.4,0.08332061041333168
1402,95,0.5,0.13593057696790434
1403,95,0.4666666666666667,0.18698094602657056
1404,95,0.16666666666666666,0.21775666609547795
1405,95,0.36666666666666664,0.2726948426161895
1406,95,0.4,0.3288257164803553
1407,95,0.5,0.3780312774512282
1408,95,0.5,0.42634715978425813
1409,95,0.3333333333333333,0.4644729186958508
1410,95,0.36666666666666664,0.5077139695219589
1411,95,0.36666666666666664,0.5488185696361723
1412,95,0.5,0.6020086026337672
1413,95,0.4,0.6352825900397524
1414,95,0.6,0.6887955951874464
1415,95,0.36666666666666664,0.730471007666153
1416,95,0.4,0.7800772983091542
1417,95,0.5,0.821971955408911
1418,95,0.3,0.8593587171060734
1419,95,0.26666666666666666,0.8941139481463062
1420,95,0.5,0.9383583165598319
1421,95,0.5,1.0007375752501213
1422,95,0.4666666666666667,1.044168877816347
1423,95,0.3333333333333333,1.0899961190205318
1424,95,0.43333333333333335,1.1445046765119997
1425,95,0.43333333333333335,1.1946571614720585
1426,95,0.4,1.239639430231113
1427,95,0.3333333333333333,1.273458143378839
1428,95,0.4,1.313442773057926
1429,95,0.43333333333333335,1.3601278491793212
1430,95,0.3333333333333333,1.3991798769059256
1431,95,0.36666666666666664,1.436397202785442
1432,95,0.43333333333333335,1.4831885004237502
1433,95,0.4,1.535519362792922
1434,95,0.4,1.5790022325414617
1435,95,0.36666666666666664,1.6204097136245283
1436,95,0.4,1.669897346080884
1437,95,0.3333333333333333,1.706935550177448
1438,95,0.5,1.756701015166383
1439,95,0.4,1.7939049379635352
1440,95,0.43333333333333335,1.8359256673783273
1441,95,0.3333333333333333,1.8776749850078664
1442,95,0.5666666666666667,1.9342842632185802
1443,95,0.3333333333333333,1.9741090128367103
1444,95,0.36666666666666664,2.0158310508406796
1445,95,0.36666666666666664,2.0517845013741454
1446,95,0.23333333333333334,2.0830461908679383
1447,95,0.36666666666666664,2.1209241672510095
1448,95,0.43333333333333335,2.1721907389844635
1449,95,0.6,2.2194659276793334
1450,98,0.5,0.042349731700563734
1451,98,0.5333333333333333,0.08974227073348819
1452,98,0.4666666666666667,0.13406920012610712
1453,98,0.36666666666666664,0.16867546946670292
1454,98,0.43333333333333335,0.2203847672237416
1455,98,0.4,0.267274267546646
1456,98,0.36666666666666664,0.3038621132153824
1457,98,0.36666666666666664,0.34374589536759537
1458,98,0.3,0.3811080373224278
1459,98,0.43333333333333335,0.426576554373861
1460,98,0.3333333333333333,0.46502615754486826
1461,98,0.43333333333333335,0.5121336470097788
1462,98,0.3333333333333333,0.546985775120018
1463,98,0.36666666666666664,0.5804885953538652
1464,98,0.43333333333333335,0.6229122726236409
1465,98,0.3333333333333333,0.6646496782735324
