id,created_at,author_id,text,clean_text,code
1266811024973291521,2020-05-30 19:17:39+00:00,1148765844455010304,@NBCNews Antifa yall need to go,Antifa yall need to go,-1
1266811251377623041,2020-05-30 19:18:33+00:00,822659418550652928,@NBCNews Is this what the “contact tracing” that was meant for coronavirus is being used for? Or is this just mere coincidence of expression? Seems relevant. Please clarify.,Is this what the “contact tracing” that was meant for coronavirus is being used for? Or is this just mere coincidence of expression? Seems relevant. Please clarify.,-1
1266811619394404352,2020-05-30 19:20:00+00:00,15710667,@NBCNews Almost every cop in St. Paul is from out of state too mayor Tom.,Almost every cop in St. Paul is from out of state too mayor Tom.,-1
1266811654043586560,2020-05-30 19:20:09+00:00,1058348727637811206,"@NBCNews This woman's thread about agitators is heartbreaking 
https://t.co/3BpmxEroib","This woman's thread about agitators is heartbreaking 
https://t.co/3BpmxEroib",-1
1266811782523322368,2020-05-30 19:20:39+00:00,1217868561806266368,@NBCNews Time to put trumpshirts behind bars.,Time to put trumpshirts behind bars.,-1
1266811790802989058,2020-05-30 19:20:41+00:00,3303134463,@NBCNews 1984 it is then.,1984 it is then.,-1
1266811917969928192,2020-05-30 19:21:12+00:00,1046522227632422912,"@NBCNews I agree and it goes beyond that too, now some Dems are trying to change the narrative of Floyd's death from Police Brutality and systematic racism to --
A conspiracy around Chauvin knowing Floyd from club, and the murder was all about a cover up and not racial discrimination?","I agree and it goes beyond that too, now some Dems are trying to change the narrative of Floyd's death from Police Brutality and systematic racism to --
A conspiracy around Chauvin knowing Floyd from club, and the murder was all about a cover up and not racial discrimination?",-1
1266811944343928832,2020-05-30 19:21:18+00:00,1891190982,"@NBCNews We could have told you that.

It was obvious from the photos the other night.

Maybe now that the police are spraying members of Congress, action will be taken.

#TrumpResign 

#BlackLivesMatter 
#BLACK_LIVES_MATTER

https://t.co/g6tUrrfiJs","We could have told you that.

It was obvious from the photos the other night.

Maybe now that the police are spraying members of Congress, action will be taken.

#TrumpResign 

#BlackLivesMatter 
#BLACK_LIVES_MATTER

https://t.co/g6tUrrfiJs",-1
1266811979550699521,2020-05-30 19:21:26+00:00,155221125,"@NBCNews @davidfrum I so appreciate the calm, intelligent and focused response of these leaders to uncover the truth of what is really happening. In this time of explosive anger and frustration, we need level-headed leadership who actually want to solve problems. 👏🏻","I so appreciate the calm, intelligent and focused response of these leaders to uncover the truth of what is really happening. In this time of explosive anger and frustration, we need level-headed leadership who actually want to solve problems. 👏🏻",-1
1266812574936555522,2020-05-30 19:23:48+00:00,2907215632,@NBCNews Bullllll shit,Bullllll shit,-1
1266812708093136900,2020-05-30 19:24:20+00:00,4718658436,"@NBCNews The media isn't putting it out but To let everyone know there's 2 different  groups the rioters and the protesters 
The protesters are doing it for floyd and the rioters are doing it because the cop was taking heat and now being arrested thats why they wear all black","The media isn't putting it out but To let everyone know there's 2 different  groups the rioters and the protesters 
The protesters are doing it for floyd and the rioters are doing it because the cop was taking heat and now being arrested thats why they wear all black",-1
